code,time_zone_id,country,region
UGL,Antarctica/South_Pole,Antarctica,Antarctica
SXW,Pacific/Port_Moresby,Papua New Guinea,Pacific
NDV,America/New_York,United States,Domestic
EAP,Europe/Zurich,Switzerland,Europe
NET,America/Nassau,Bahamas,Caribbean
MSK,America/Nassau,Bahamas,Caribbean
LYG,Asia/Shanghai,China,Pacific
YIG,America/Vancouver,Canada,Canada
ACI,Europe/Guernsey,Guernsey,Europe
ANT,Europe/Vienna,Austria,Europe
APW,Pacific/Apia,Samoa,Pacific
LYI,Asia/Shanghai,China,Pacific
LHB,America/Nome,United States,Alaska
MZS,Asia/Kuching,Malaysia,Pacific
MDE,America/Bogota,Colombia,South America
MDH,America/Chicago,United States,Domestic
YFL,America/Yellowknife,Canada,Canada
YEP,America/Vancouver,Canada,Canada
JTN,America/Sao_Paulo,Brazil,South America
YGA,America/Montreal,Canada,Canada
MDK,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa
LMV,Indian/Maldives,Maldives,Pacific
LZC,America/Mexico_City,Mexico,Mexico/Central America
AQP,America/Lima,Peru,South America
NKI,America/Anchorage,United States,Alaska
YSV,America/Goose_Bay,Canada,Canada
AST,America/Los_Angeles,United States,Domestic
TYC,Asia/Shanghai,China,Pacific
YTI,America/Vancouver,Canada,Canada
LZH,Asia/Shanghai,China,Pacific
MEC,America/Guayaquil,Ecuador,South America
DZH,Asia/Shanghai,China,Pacific
EES,Africa/Cairo,Egypt,Africa
YHA,America/St_Johns,Canada,Canada
KFZ,Europe/Tirane,Albania,Europe
JTA,America/Fortaleza,Brazil,South America
KJB,Asia/Kolkata,India,Pacific
YPF,America/Vancouver,Canada,Canada
EHU,Asia/Shanghai,China,Pacific
FZL,Asia/Baku,Azerbaijan,Pacific
KXB,Asia/Makassar,Indonesia,Pacific
GDR,America/Sao_Paulo,Brazil,South America
HLJ,Asia/Shanghai,China,Pacific
HZU,Asia/Shanghai,China,Pacific
NGR,Pacific/Port_Moresby,Papua New Guinea,Pacific
MXQ,America/Sao_Paulo,Brazil,South America
AFK,Asia/Colombo,Sri Lanka,Pacific
JHF,America/Sao_Paulo,Brazil,South America
AGK,Pacific/Port_Moresby,Papua New Guinea,Pacific
BLL,Europe/Copenhagen,Denmark,Europe
CBA,America/Sitka,United States,Alaska
JSB,America/Fortaleza,Brazil,South America
ATH,Europe/Athens,Greece,Europe
TXC,Europe/Minsk,Belarus,Europe
YLE,America/Yellowknife,Canada,Canada
UHS,Asia/Sakhalin,Russian Federation,Europe
MEH,Europe/Oslo,Norway,Europe
ZMF,Europe/Rome,Italy,Europe
MEI,America/Chicago,United States,Domestic
MEL,Australia/Melbourne,Australia,Australia/New Zealand
MEM,America/Chicago,United States,Domestic
MEN,Europe/Paris,France,Europe
MHB,Pacific/Auckland,New Zealand,Australia/New Zealand
MBS,America/Detroit,United States,Domestic
MBW,Australia/Melbourne,Australia,Australia/New Zealand
MBY,America/Chicago,United States,Domestic
AVP,America/New_York,United States,Domestic
DIA,Asia/Qatar,Qatar,Middle East
GNJ,Asia/Baku,Azerbaijan,Pacific
YGQ,America/Toronto,Canada,Canada
GYO,Asia/Jakarta,Indonesia,Pacific
HIT,Pacific/Port_Moresby,Papua New Guinea,Pacific
YNN,Australia/Perth,Australia,Australia/New Zealand
MEO,America/New_York,United States,Domestic
HSF,Asia/Shanghai,China,Pacific
