code,time_zone_id,country,region,latitude,longitude
UGL,Antarctica/South_Pole,Antarctica,Antarctica,,
SXW,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
NDV,America/New_York,United States,Domestic,,
EAP,Europe/Zurich,Switzerland,Europe,,
NET,America/Nassau,Bahamas,Caribbean,,
MSK,America/Nassau,Bahamas,Caribbean,,
LYG,Asia/Shanghai,China,Pacific,,
YIG,America/Vancouver,Canada,Canada,,
ACI,Europe/Guernsey,Guernsey,Europe,,
ANT,Europe/Vienna,Austria,Europe,,
APW,Pacific/Apia,Samoa,Pacific,,
LYI,Asia/Shanghai,China,Pacific,,
LHB,America/Nome,United States,Alaska,,
MZS,Asia/Kuching,Malaysia,Pacific,,
MDE,America/Bogota,Colombia,South America,,
MDH,America/Chicago,United States,Domestic,37.77809583,-89.25203111
YFL,America/Yellowknife,Canada,Canada,,
YEP,America/Vancouver,Canada,Canada,,
JTN,America/Sao_Paulo,Brazil,South America,,
YGA,America/Montreal,Canada,Canada,,
MDK,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa,,
LMV,Indian/Maldives,Maldives,Pacific,,
LZC,America/Mexico_City,Mexico,Mexico/Central America,,
AQP,America/Lima,Peru,South America,,
NKI,America/Anchorage,United States,Alaska,,
YSV,America/Goose_Bay,Canada,Canada,,
AST,America/Los_Angeles,United States,Domestic,46.15797222,-123.8786944
TYC,Asia/Shanghai,China,Pacific,,
YTI,America/Vancouver,Canada,Canada,,
LZH,Asia/Shanghai,China,Pacific,,
MEC,America/Guayaquil,Ecuador,South America,,
DZH,Asia/Shanghai,China,Pacific,,
EES,Africa/Cairo,Egypt,Africa,,
YHA,America/St_Johns,Canada,Canada,,
KFZ,Europe/Tirane,Albania,Europe,,
JTA,America/Fortaleza,Brazil,South America,,
KJB,Asia/Kolkata,India,Pacific,,
YPF,America/Vancouver,Canada,Canada,,
EHU,Asia/Shanghai,China,Pacific,,
FZL,Asia/Baku,Azerbaijan,Pacific,,
KXB,Asia/Makassar,Indonesia,Pacific,,
GDR,America/Sao_Paulo,Brazil,South America,,
HLJ,Asia/Shanghai,China,Pacific,,
HZU,Asia/Shanghai,China,Pacific,,
NGR,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
MXQ,America/Sao_Paulo,Brazil,South America,,
AFK,Asia/Colombo,Sri Lanka,Pacific,40.60688889,-95.86569444
JHF,America/Sao_Paulo,Brazil,South America,,
AGK,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
BLL,Europe/Copenhagen,Denmark,Europe,,
CBA,America/Sitka,United States,Alaska,,
JSB,America/Fortaleza,Brazil,South America,,
ATH,Europe/Athens,Greece,Europe,,
TXC,Europe/Minsk,Belarus,Europe,,
YLE,America/Yellowknife,Canada,Canada,,
UHS,Asia/Sakhalin,Russian Federation,Europe,,
MEH,Europe/Oslo,Norway,Europe,,
ZMF,Europe/Rome,Italy,Europe,,
MEI,America/Chicago,United States,Domestic,32.33313333,-88.75120556
MEL,Australia/Melbourne,Australia,Australia/New Zealand,,
MEM,America/Chicago,United States,Domestic,35.04241667,-89.97666667
MEN,Europe/Paris,France,Europe,,
MHB,Pacific/Auckland,New Zealand,Australia/New Zealand,,
MBS,America/Detroit,United States,Domestic,43.53291472,-84.07964722
MBW,Australia/Melbourne,Australia,Australia/New Zealand,,
MBY,America/Chicago,United States,Domestic,39.46392583,-92.42759778
